"Nume_actiune","Timestamp"
"Afisare produse cereale","22 05 2022 16:20:09"
"Stergere produs lactat","22 05 2022 20:24:03"
"Stergere produs lactat","22 05 2022 20:30:30"
"Stergere produs lactat","22 05 2022 20:31:19"
"Afisare produse lactate","22 05 2022 20:31:28"
"Afisare produse lactate","22 05 2022 20:32:09"
"Afisare produse lactate","22 05 2022 20:34:55"
"Afisarea fructelor si legumelor","22 05 2022 20:44:03"
"Afisarea fructelor si legumelor","22 05 2022 20:45:21"
"Afisare produse lactate","22 05 2022 20:45:27"
"Afisarea fructelor si legumelor","22 05 2022 20:47:25"
"Stergere produs din categoria fructe si legume","22 05 2022 20:48:27"
"Afisarea fructelor si legumelor","22 05 2022 20:51:32"
"Adaugare fruct sau leguma in baza de date","22 05 2022 20:53:26"
"Afisarea fructelor si legumelor","22 05 2022 20:53:29"
"Afisare produse lactate","22 05 2022 20:54:10"
"Adaugare produs lactat in baza de date","22 05 2022 20:54:31"
"Adaugare produs lactat in baza de date","22 05 2022 20:55:37"
"Afisare produse lactate","22 05 2022 20:55:43"
"Afisarea tuturor produselor","22 05 2022 20:55:48"
"Afisare produse lactate","22 05 2022 21:08:15"
"Afisare produse lactate","22 05 2022 21:08:40"
"Afisare produse lactate","22 05 2022 21:09:03"
"Afisare produse lactate","22 05 2022 21:10:35"
"Afisare produse lactate","22 05 2022 21:11:46"
"Stergere produs lactat","22 05 2022 21:12:05"
"Afisare produse lactate","22 05 2022 21:12:20"
"Afisare produse cereale","22 05 2022 21:16:30"
"Stergere produs din categoria cereale","22 05 2022 21:18:26"
"Afisare produse cereale","22 05 2022 21:18:32"
"Adaugare produs lactat in baza de date","22 05 2022 21:42:10"
"Afisare produse lactate","22 05 2022 21:42:29"
"Update produs din categoria lactate","22 05 2022 21:43:03"
"Afisare produse lactate","22 05 2022 21:43:09"
"Update produs din categoria lactate","22 05 2022 21:44:16"
"Afisare produse lactate","22 05 2022 21:44:17"
"Afisarea fructelor si legumelor","22 05 2022 21:57:39"
"Update produs din categoria fructe si legume","22 05 2022 21:58:09"
"Afisarea tuturor produselor","22 05 2022 21:58:11"
"Afisarea tuturor produselor","22 05 2022 22:00:51"
"Adaugare cereale in baza de date","22 05 2022 22:01:15"
"Afisarea tuturor produselor","22 05 2022 22:01:18"
"Afisarea tuturor produselor","22 05 2022 22:02:55"
"Update produs din categoria cereale","22 05 2022 22:03:48"
"Update produs din categoria cereale","22 05 2022 22:05:33"
"Afisarea tuturor produselor","22 05 2022 22:06:21"
"Update produs din categoria cereale","22 05 2022 22:06:35"
"Afisarea tuturor produselor","22 05 2022 22:06:52"
"Update produs din categoria cereale","22 05 2022 22:07:37"
"Afisarea tuturor produselor","22 05 2022 22:07:39"
"Afisarea tuturor produselor","23 05 2022 16:21:16"
"Afisarea tuturor produselor","23 05 2022 16:22:49"
"Afisarea tuturor produselor","23 05 2022 16:24:00"
"Afisare produse lactate","23 05 2022 16:24:07"
"Afisare produse cereale","23 05 2022 16:24:10"
"Afisarea fructelor si legumelor","23 05 2022 16:24:14"
"Afisarea produselor din carne","23 05 2022 16:24:17"
"Adaugare produs din carne in baza de date","23 05 2022 16:24:36"
"Afisarea produselor din carne","23 05 2022 16:24:44"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 16:25:15"
"Afisarea bauturilor nealcoolice","23 05 2022 16:25:26"
"Adaugare bautura alcoolica in baza de date","23 05 2022 16:26:03"
"Afisarea bauturilor alcoolice","23 05 2022 16:26:05"
"Afisarea distribuitorilor","23 05 2022 16:26:08"
"Afisarea bauturilor alcoolice","23 05 2022 16:26:14"
"Afisarea bauturilor nealcoolice","23 05 2022 16:27:09"
"Afisarea produselor din carne","23 05 2022 16:27:12"
"Afisarea distribuitorilor","23 05 2022 16:27:19"
"Afisarea distribuitorilor straini","23 05 2022 16:27:23"
"Adaugare distribuitor intern in baza de date","23 05 2022 16:28:05"
"Afisarea distribuitorilor","23 05 2022 16:28:15"
"Adaugare distribuitor strain in baza de date","23 05 2022 16:28:44"
"Afisarea distribuitorilor straini","23 05 2022 16:28:48"
"Afisarea tuturor produselor","23 05 2022 16:34:03"
"Afisarea distribuitorilor","23 05 2022 16:34:15"
"Afisarea distribuitorilor straini","23 05 2022 16:34:22"
"Stergere produs din categoria lactate","23 05 2022 16:34:32"
"Afisarea tuturor produselor","23 05 2022 16:34:33"
"Stergere produs din categoria fructe si legume","23 05 2022 16:35:49"
"Stergere produs din categoria cereale","23 05 2022 16:35:56"
"Stergere produs din categoria bauturi alcoolice","23 05 2022 16:36:10"
"Stergere produs din categoria bauturi nealcoolice","23 05 2022 16:36:24"
"Stergere produs din categoria carne","23 05 2022 16:36:28"
"Afisarea tuturor produselor","23 05 2022 16:37:33"
"Stergere produs din categoria bauturi alcoolice","23 05 2022 16:37:52"
"Stergere distribuitor intern","23 05 2022 16:40:38"
"Stergere distribuitor strain","23 05 2022 16:40:46"
"Afisarea distribuitorilor","23 05 2022 16:40:55"
"Afisarea bauturilor alcoolice","23 05 2022 16:40:59"
"Afisarea distribuitorilor straini","23 05 2022 16:41:05"
"Update produs din categoria lactate","23 05 2022 16:41:25"
"Afisare produse lactate","23 05 2022 16:41:33"
"Afisarea bauturilor alcoolice","23 05 2022 16:59:09"
"Afisarea tuturor produselor","23 05 2022 17:04:54"
"Afisarea tuturor produselor","23 05 2022 17:12:59"
"Afisarea tuturor produselor","23 05 2022 20:48:20"
"Adaugare fruct sau leguma in baza de date","23 05 2022 20:49:23"
"Adaugare fruct sau leguma in baza de date","23 05 2022 20:50:54"
"Adaugare produs lactat in baza de date","23 05 2022 20:53:43"
"Adaugare fruct sau leguma in baza de date","23 05 2022 20:53:52"
"Adaugare cereale in baza de date","23 05 2022 20:54:03"
"Adaugare produs din carne in baza de date","23 05 2022 20:54:11"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 20:54:20"
"Adaugare bautura alcoolica in baza de date","23 05 2022 20:57:35"
"Adaugare distribuitor intern in baza de date","23 05 2022 20:57:54"
"Adaugare distribuitor strain in baza de date","23 05 2022 20:58:04"
"Afisarea tuturor produselor","23 05 2022 20:58:16"
"Afisare produse lactate","23 05 2022 20:58:48"
"Afisare produse cereale","23 05 2022 20:58:52"
"Afisarea fructelor si legumelor","23 05 2022 20:58:58"
"Afisarea produselor din carne","23 05 2022 20:59:01"
"Afisarea bauturilor nealcoolice","23 05 2022 20:59:17"
"Afisarea bauturilor alcoolice","23 05 2022 20:59:19"
"Afisarea distribuitorilor","23 05 2022 20:59:38"
"Afisarea distribuitorilor straini","23 05 2022 20:59:42"
"Stergere produs din categoria lactate","23 05 2022 20:59:56"
"Stergere produs din categoria fructe si legume","23 05 2022 21:00:08"
"Stergere produs din categoria cereale","23 05 2022 21:00:35"
"Stergere produs din categoria carne","23 05 2022 21:00:38"
"Stergere produs din categoria bauturi nealcoolice","23 05 2022 21:00:41"
"Stergere produs din categoria bauturi alcoolice","23 05 2022 21:00:53"
"Stergere distribuitor intern","23 05 2022 21:00:56"
"Stergere distribuitor strain","23 05 2022 21:01:00"
"Afisarea tuturor produselor","23 05 2022 21:01:05"
"Update produs din categoria lactate","23 05 2022 21:01:33"
"Update produs din categoria fructe si legume","23 05 2022 21:01:52"
"Afisarea tuturor produselor","23 05 2022 21:02:23"
"Update produs din categoria bauturi alcoolice","23 05 2022 21:02:59"
"Update produs din categoria bauturi alcoolice","23 05 2022 21:04:12"
"Afisarea tuturor produselor","23 05 2022 21:04:13"
"Adaugare bautura alcoolica in baza de date","23 05 2022 21:04:43"
"Afisarea tuturor produselor","23 05 2022 21:05:03"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 21:05:21"
"Afisarea tuturor produselor","23 05 2022 21:05:28"
"Update produs din categoria bauturi nealcoolice","23 05 2022 21:05:58"
"Afisarea tuturor produselor","23 05 2022 21:06:01"
"Adaugare produs din carne in baza de date","23 05 2022 21:06:34"
"Afisarea tuturor produselor","23 05 2022 21:06:35"
"Update produs din categoria carne","23 05 2022 21:06:54"
"Afisarea tuturor produselor","23 05 2022 21:06:55"
"Adaugare produs lactat in baza de date","23 05 2022 21:23:51"
"Adaugare fruct sau leguma in baza de date","23 05 2022 21:23:59"
"Adaugare cereale in baza de date","23 05 2022 21:24:16"
"Adaugare produs din carne in baza de date","23 05 2022 21:25:23"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 21:25:38"
"Afisarea tuturor produselor","23 05 2022 21:26:06"
"Afisarea tuturor produselor","23 05 2022 21:30:02"
"Stergere produs din categoria lactate","23 05 2022 21:30:31"
"Stergere produs din categoria lactate","23 05 2022 21:30:33"
"Afisarea tuturor produselor","23 05 2022 22:09:36"
"Afisarea tuturor produselor","23 05 2022 22:10:59"
"Afisarea tuturor produselor","23 05 2022 22:13:16"
"Afisarea tuturor produselor","23 05 2022 22:13:28"
"Afisarea tuturor produselor","23 05 2022 22:16:31"
"Adaugare produs lactat in baza de date","23 05 2022 22:21:59"
"Afisarea tuturor produselor","23 05 2022 22:22:01"
"Adaugare produs lactat in baza de date","23 05 2022 22:22:46"
"Afisarea tuturor produselor","23 05 2022 22:22:47"
"Adaugare produs lactat in baza de date","23 05 2022 22:24:15"
"Afisarea tuturor produselor","23 05 2022 22:24:17"
"Adaugare produs lactat in baza de date","23 05 2022 22:25:48"
"Afisarea tuturor produselor","23 05 2022 22:25:49"
"Adaugare produs lactat in baza de date","23 05 2022 22:26:50"
"Afisarea tuturor produselor","23 05 2022 22:26:57"
"Adaugare produs lactat in baza de date","23 05 2022 22:28:11"
"Afisarea tuturor produselor","23 05 2022 22:28:16"
"Adaugare produs lactat in baza de date","23 05 2022 22:31:09"
"Afisarea tuturor produselor","23 05 2022 22:31:19"
"Adaugare produs lactat in baza de date","23 05 2022 22:32:04"
"Afisarea tuturor produselor","23 05 2022 22:32:06"
"Adaugare bautura alcoolica in baza de date","23 05 2022 22:33:42"
"Afisarea tuturor produselor","23 05 2022 22:33:49"
"Afisarea tuturor produselor","23 05 2022 22:35:02"
"Afisare produse lactate","23 05 2022 22:35:36"
"Afisare produse cereale","23 05 2022 22:35:42"
"Afisarea fructelor si legumelor","23 05 2022 22:35:43"
"Afisarea produselor din carne","23 05 2022 22:35:43"
"Afisarea bauturilor nealcoolice","23 05 2022 22:35:44"
"Afisarea bauturilor alcoolice","23 05 2022 22:35:44"
"Afisarea distribuitorilor","23 05 2022 22:35:49"
"Afisarea distribuitorilor straini","23 05 2022 22:35:49"
"Adaugare produs lactat in baza de date","23 05 2022 22:36:03"
"Adaugare fruct sau leguma in baza de date","23 05 2022 22:36:15"
"Adaugare cereale in baza de date","23 05 2022 22:36:28"
"Adaugare produs din carne in baza de date","23 05 2022 22:36:41"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 22:36:58"
"Adaugare bautura nealcoolica in baza de date","23 05 2022 22:37:06"
"Adaugare bautura alcoolica in baza de date","23 05 2022 22:37:15"
"Adaugare distribuitor intern in baza de date","23 05 2022 22:37:31"
"Adaugare distribuitor strain in baza de date","23 05 2022 22:37:39"
"Afisarea tuturor produselor","23 05 2022 22:37:45"
"Afisarea distribuitorilor","23 05 2022 22:38:04"
"Afisarea distribuitorilor straini","23 05 2022 22:38:07"
"Update produs din categoria lactate","23 05 2022 22:38:26"
"Update produs din categoria fructe si legume","23 05 2022 22:38:50"
"Update produs din categoria cereale","23 05 2022 22:39:08"
"Update produs din categoria carne","23 05 2022 22:39:16"
"Update distribuitor strain","23 05 2022 22:40:19"
"Afisarea tuturor produselor","23 05 2022 22:40:21"
"Afisarea distribuitorilor straini","23 05 2022 22:40:24"
"Stergere produs din categoria lactate","23 05 2022 22:40:33"
"Stergere produs din categoria fructe si legume","23 05 2022 22:40:36"
"Stergere produs din categoria cereale","23 05 2022 22:40:38"
"Stergere produs din categoria carne","23 05 2022 22:40:40"
"Stergere produs din categoria bauturi nealcoolice","23 05 2022 22:40:43"
"Stergere produs din categoria bauturi nealcoolice","23 05 2022 22:40:45"
"Stergere produs din categoria bauturi alcoolice","23 05 2022 22:40:47"
"Stergere distribuitor intern","23 05 2022 22:40:52"
"Stergere distribuitor strain","23 05 2022 22:40:55"
"Afisarea tuturor produselor","23 05 2022 22:40:56"
"Afisarea distribuitorilor","23 05 2022 22:40:59"
"Afisarea distribuitorilor straini","23 05 2022 22:41:01"
